[Wed Oct 05 21:46:03.199019 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_connect(): Access denied for user 'root'@'localhost' (using password: NO) in /home/tania/projects/test/add/include/dbconnect.php on line 126, referer: http://test.local/
[Wed Oct 05 21:46:03.199062 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.199073 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.199079 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. include() /home/tania/projects/test/add/index.php:2, referer: http://test.local/
[Wed Oct 05 21:46:03.199084 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   3. mysql_connect() /home/tania/projects/test/add/include/dbconnect.php:126, referer: http://test.local/
[Wed Oct 05 21:46:03.199109 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/tania/projects/test/add/include/dbconnect.php on line 134, referer: http://test.local/
[Wed Oct 05 21:46:03.199113 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.199117 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.199122 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. include() /home/tania/projects/test/add/index.php:2, referer: http://test.local/
[Wed Oct 05 21:46:03.199126 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   3. mysql_select_db() /home/tania/projects/test/add/include/dbconnect.php:134, referer: http://test.local/
[Wed Oct 05 21:46:03.199424 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/tania/projects/test/add/include/dbconnect.php on line 141, referer: http://test.local/
[Wed Oct 05 21:46:03.199438 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.199443 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.199448 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. include() /home/tania/projects/test/add/index.php:2, referer: http://test.local/
[Wed Oct 05 21:46:03.199453 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   3. mysql_query() /home/tania/projects/test/add/include/dbconnect.php:141, referer: http://test.local/
[Wed Oct 05 21:46:03.199460 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Warning:  mysql_query(): A link to the server could not be established in /home/tania/projects/test/add/include/dbconnect.php on line 141, referer: http://test.local/
[Wed Oct 05 21:46:03.199464 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP Stack trace:, referer: http://test.local/
[Wed Oct 05 21:46:03.199468 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   1. {main}() /home/tania/projects/test/add/index.php:0, referer: http://test.local/
[Wed Oct 05 21:46:03.199473 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   2. include() /home/tania/projects/test/add/index.php:2, referer: http://test.local/
[Wed Oct 05 21:46:03.199477 2016] [:error] [pid 5015] [client 127.0.0.1:47256] PHP   3. mysql_query() /home/tania/projects/test/add/include/dbconnect.php:141, referer: http://test.local/
